0,0,0,0.0007
0.0004,0.038,3.7589,0.0054
0.0014,0.0989,6.0188,0.0195
0.0031,0.1703,7.0642,0.0464
0.0055,0.2428,7.3564,0.0861
0.0086,0.3129,7.0481,0.1386
0.0125,0.3846,7.1839,0.2046
0.017,0.4567,7.202,0.2842
0.0223,0.5296,7.3655,0.3767
0.0283,0.5996,6.9807,0.4828
0.035,0.6736,7.3712,0.6033
0.0425,0.7472,7.4203,0.7369
0.0506,0.8179,7.0591,0.8843
0.0596,0.8924,7.4486,1.0463
0.0692,0.9659,7.3672,1.2223
0.0796,1.0388,7.2709,1.4131
0.0908,1.1143,7.5509,1.6187
0.1026,1.1889,7.4769,1.8386
0.1152,1.2628,7.3899,2.0737
0.1286,1.3384,7.5502,2.3246
0.1428,1.4146,7.5997,2.5916
0.1577,1.4922,7.7796,2.8742
0.1734,1.567,7.4653,3.1731
0.1898,1.6469,8.009,3.4885
0.2071,1.7227,7.5845,3.8206
0.2251,1.8027,8.0098,4.1704
0.2439,1.8811,7.8357,4.5379
0.2635,1.9614,8.0263,4.9241
0.284,2.0426,8.1042,5.3293
0.3052,2.1255,8.3143,5.753
0.3272,2.2058,8.0243,6.1961
0.3502,2.2894,8.3528,6.6603
0.3739,2.3752,8.5768,7.1451
0.3985,2.4594,8.427,7.651
0.424,2.5459,8.6518,8.1788
0.4503,2.6334,8.761,8.7289
0.4775,2.7209,8.7443,9.3024
0.5056,2.8108,8.9864,9.9004
0.5346,2.9019,9.1112,10.5232
0.5645,2.9943,9.2413,11.1712
0.5954,3.0867,9.2436,11.8455
0.6273,3.1819,9.5099,12.5473
0.6601,3.2785,9.6565,13.2771
0.6938,3.3765,9.8084,14.0352
0.7285,3.4747,9.8293,14.8229
0.7643,3.5747,9.9844,15.6421
0.8011,3.6789,10.4195,16.4935
0.8389,3.7834,10.4624,17.3766
0.8778,3.887,10.3612,18.2936
0.9178,3.9952,10.8087,19.2466
0.9588,4.1065,11.1369,20.2352
1.001,4.2157,10.9092,21.2609
1.0443,4.3307,11.5123,22.3249
1.0882,4.3929,6.2175,23.4203
1.1322,4.4007,0.774,24.532
1.1761,4.3922,-0.8445,25.6533
1.22,4.3898,-0.2418,26.7839
1.2639,4.3836,-0.6246,27.923
1.3076,4.3791,-0.4455,29.071
1.3514,4.375,-0.4094,30.2279
1.3951,4.3713,-0.3752,31.3935
1.4388,4.3678,-0.3427,32.5676
1.4824,4.3662,-0.165,33.7491
1.526,4.3604,-0.5773,34.9388
1.5696,4.3593,-0.1091,36.1373
1.6132,4.357,-0.2307,37.3435
1.6567,4.3564,-0.0568,38.5564
1.7003,4.3516,-0.4846,39.7767
1.7438,4.3514,-0.014,41.0051
1.7873,4.35,-0.1448,42.2406
1.8308,4.3487,-0.127,43.4829
1.8743,4.3492,0.0427,44.7309
1.9177,4.3451,-0.4018,45.9854
1.9612,4.3459,0.0716,47.2472
2.0046,4.3452,-0.0689,48.5152
2.0481,4.3446,-0.0572,49.7892
2.0916,4.3441,-0.0466,51.0691
2.135,4.3453,0.1193,52.3539
2.1784,4.3419,-0.3405,53.6443
2.2218,4.3448,0.2929,54.9401
2.2653,4.3416,-0.3272,56.2414
2.3087,4.3446,0.3076,57.5481
2.3521,4.343,-0.1591,58.8589
2.3956,4.3431,0.0035,60.1749
2.439,4.3448,0.167,61.4951
2.4824,4.3433,-0.1469,62.8192
2.5259,4.3434,0.0154,64.1483
2.5694,4.3436,0.0184,65.4823
2.6128,4.347,0.3424,66.8193
2.6562,4.3425,-0.4572,68.1601
2.6997,4.3459,0.3464,69.5057
2.7432,4.3462,0.0276,70.8542
2.7866,4.3465,0.029,72.2055
2.8301,4.3452,-0.1318,73.5606
2.8735,4.3471,0.1929,74.9195
2.917,4.3474,0.032,76.2813
2.9605,4.3478,0.0326,77.6459
3.004,4.3481,0.033,79.0133
3.0474,4.3484,0.0332,80.3835
3.0909,4.3487,0.0332,81.7565
3.1344,4.3491,0.0331,83.1324
3.1779,4.3511,0.1978,84.5101
3.2214,4.3497,-0.1322,85.8896
3.2649,4.35,0.0316,87.2719
3.3084,4.352,0.1966,88.656
3.3519,4.3507,-0.1356,90.0418
3.3955,4.3526,0.1949,91.4293
3.439,4.3512,-0.1389,92.8184
3.4825,4.3531,0.1923,94.2091
3.5261,4.3534,0.0242,95.6003
3.5696,4.3519,-0.1454,96.9928
3.6131,4.3555,0.3552,98.3857
3.6567,4.3523,-0.3184,99.7787
3.7002,4.3541,0.1822,101.1728
3.7437,4.3559,0.1809,102.5657
3.7873,4.3526,-0.3284,103.9582
3.8308,4.3544,0.174,105.3514
3.8744,4.3544,0.0026,106.7438
3.9179,4.3544,-0.0006,108.1353
3.9615,4.3561,0.1661,109.5246
4.005,4.3526,-0.345,110.9124
4.0485,4.3559,0.3293,112.2986
4.0921,4.3524,-0.3503,113.6829
4.1356,4.3556,0.3241,115.0648
4.1792,4.3538,-0.1855,116.4432
4.2227,4.3536,-0.0176,117.8186
4.2663,4.3534,-0.0183,119.1908
4.3098,4.3549,0.1507,120.5584
4.3533,4.3514,-0.3545,121.9219
4.3969,4.3546,0.3211,123.2812
4.4404,4.3528,-0.1812,124.6347
4.4839,4.351,-0.1757,125.9841
4.5275,4.3543,0.3311,127.328
4.571,4.3527,-0.1636,128.6651
4.6145,4.3528,0.0121,129.9958
4.658,4.353,0.0222,131.3199
4.7016,4.3534,0.0343,132.6369
4.7451,4.3538,0.0482,133.9464
4.7886,4.3545,0.0643,135.2481
4.8322,4.3537,-0.0796,136.5425
