0,0,0,0.0007
0.0002,0.0227,2.2412,0.0054
0.0008,0.0528,2.9818,0.0195
0.0016,0.0825,2.9372,0.0464
0.0027,0.1098,2.7744,0.0861
0.0041,0.1387,2.9039,0.1386
0.0057,0.1666,2.7941,0.2046
0.0077,0.1945,2.7876,0.2842
0.0099,0.2212,2.6944,0.3767
0.0124,0.2508,2.9484,0.4828
0.0152,0.2772,2.6323,0.6033
0.0182,0.3033,2.631,0.7369
0.0215,0.3323,2.8972,0.8843
0.0251,0.3579,2.5592,1.0463
0.0289,0.3843,2.6414,1.2223
0.033,0.4114,2.7051,1.4131
0.0374,0.436,2.4635,1.6187
0.042,0.4613,2.5375,1.8386
0.0469,0.4873,2.597,2.0737
0.052,0.5117,2.4415,2.3246
0.0574,0.5358,2.396,2.5916
0.0629,0.5581,2.2428,2.8742
0.0688,0.5833,2.5122,3.1731
0.0748,0.6034,2.0167,3.4885
0.0811,0.6274,2.4,3.8206
0.0875,0.6474,1.9988,4.1704
0.0942,0.669,2.1561,4.5379
0.1011,0.6887,1.9694,4.9241
0.1082,0.7076,1.8949,5.3293
0.1154,0.7246,1.7041,5.753
0.1229,0.7443,1.9634,6.1961
0.1305,0.7607,1.6393,6.6603
0.1382,0.775,1.4336,7.1451
0.1461,0.7907,1.5712,7.651
0.1542,0.8042,1.3496,8.1788
0.1623,0.8166,1.2432,8.7289
0.1706,0.8291,1.2499,9.3024
0.179,0.8393,1.0114,9.9004
0.1875,0.8482,0.8898,10.5232
0.1961,0.8558,0.7627,11.1712
0.2047,0.8633,0.7522,11.8455
0.2134,0.8682,0.4894,12.5473
0.2221,0.8717,0.346,13.2771
0.2308,0.8736,0.197,14.0352
0.2396,0.8753,0.1691,14.8229
0.2484,0.8754,0.008,15.6421
0.2571,0.8713,-0.414,16.4935
0.2657,0.8667,-0.4542,17.3766
0.2744,0.8631,-0.3677,18.2936
0.2829,0.8549,-0.8112,19.2466
0.2913,0.8437,-1.1277,20.2352
0.2997,0.8345,-0.9132,21.2609
0.3079,0.8194,-1.5095,22.3249
0.3157,0.7816,-3.7814,23.4203
0.323,0.7308,-5.0875,24.532
0.33,0.6974,-3.3361,25.6533
0.3366,0.6592,-3.8188,26.7839
0.3428,0.6261,-3.3092,27.923
0.3488,0.5925,-3.366,29.071
0.3544,0.5596,-3.2819,30.2279
0.3596,0.5277,-3.1979,31.3935
0.3646,0.4965,-3.1141,32.5676
0.3692,0.4647,-3.1801,33.7491
0.3736,0.4382,-2.6517,34.9388
0.3777,0.4081,-3.0118,36.1373
0.3815,0.3803,-2.7831,37.3435
0.385,0.3517,-2.8537,38.5564
0.3883,0.3285,-2.32,39.7767
0.3913,0.3016,-2.6908,41.0051
