0,0,0,179.9998,0,49.1825,0,0,10
-0.0008,-0.05,-3.0441,179.999,-0.0007,49.1799,0.001,0.061,10
-0.0012,-0.0612,-1.6504,179.9983,-0.0014,49.1766,0.0012,0.0305,10
-0.0021,-0.0853,-2.5075,179.9976,-0.0022,49.1706,0.0017,0.0521,10
-0.0029,-0.1117,-3.5785,179.9966,-0.0031,49.1654,0.0022,0.0703,10
-0.0045,-0.1402,-2.4361,179.9952,-0.0046,49.1542,0.0028,0.0498,10
-0.0062,-0.1734,-3.4824,179.9933,-0.0065,49.1431,0.0035,0.0681,10
-0.0082,-0.203,-2.9266,179.9911,-0.0086,49.1293,0.0041,0.0593,10
-0.0103,-0.2324,-3.3218,179.9887,-0.0111,49.1155,0.0046,0.0656,10
-0.0132,-0.2621,-2.699,179.9858,-0.0139,49.0958,0.0052,0.0554,10
-0.016,-0.2946,-3.318,179.9825,-0.0173,49.0761,0.0059,0.065,10
-0.0189,-0.3232,-3.2081,179.9791,-0.0207,49.0572,0.0065,0.0644,10
-0.0226,-0.3521,-2.757,179.9752,-0.0245,49.0323,0.0071,0.0569,10
-0.0263,-0.3837,-3.2716,179.9709,-0.0288,49.0067,0.0077,0.0643,10
-0.0304,-0.4133,-2.9743,179.9663,-0.0334,48.9793,0.0083,0.0608,10
-0.035,-0.4441,-3.0252,179.9613,-0.0385,48.9493,0.0089,0.0611,10
-0.0399,-0.4756,-3.0324,179.9557,-0.044,48.9152,0.0095,0.0614,10
-0.0448,-0.5067,-3.1984,179.95,-0.0498,48.8826,0.0102,0.064,10
-0.0502,-0.5365,-2.9865,179.9439,-0.0558,48.8468,0.0108,0.0615,10
-0.0559,-0.5672,-3.0332,179.9374,-0.0623,48.8084,0.0114,0.0617,10
-0.0617,-0.5978,-3.183,179.9307,-0.0691,48.7693,0.012,0.0641,10
-0.0678,-0.6272,-2.9886,179.9237,-0.0761,48.7284,0.0126,0.062,10
-0.0744,-0.6575,-3.0353,179.9162,-0.0836,48.6842,0.0133,0.0622,10
-0.0814,-0.6883,-3.0391,179.9082,-0.0915,48.6375,0.0139,0.0625,10
-0.0888,-0.7195,-3.0423,179.8998,-0.1,48.5875,0.0145,0.0628,10
-0.0961,-0.7506,-3.1666,179.8911,-0.1087,48.5383,0.0152,0.0646,10
-0.1039,-0.7805,-2.9997,179.8821,-0.1176,48.4859,0.0158,0.0631,10
-0.1121,-0.8112,-3.0432,179.8727,-0.1271,48.431,0.0164,0.0633,10
-0.1203,-0.842,-3.1602,179.863,-0.1368,48.3762,0.0171,0.0651,10
-0.1293,-0.8719,-2.8989,179.8528,-0.147,48.3163,0.0177,0.0624,10
-0.1383,-0.9037,-3.1951,179.8421,-0.1576,48.2559,0.0184,0.0655,10
-0.1477,-0.9339,-3.0066,179.8312,-0.1686,48.1936,0.019,0.0643,10
-0.1571,-0.9647,-3.1539,179.82,-0.1797,48.1315,0.0196,0.0659,10
-0.1673,-0.9945,-2.9095,179.8084,-0.1914,48.0629,0.0203,0.0636,10
-0.1775,-1.0262,-3.1902,179.7962,-0.2036,47.9959,0.021,0.0663,10
-0.1881,-1.0564,-3.0093,179.7838,-0.216,47.9244,0.0216,0.0654,10
-0.1987,-1.0871,-3.1495,179.7711,-0.2287,47.855,0.0223,0.0668,10
-0.2101,-1.1169,-2.918,179.7579,-0.2418,47.7787,0.0229,0.0649,10
-0.2215,-1.1485,-3.1869,179.7443,-0.2555,47.7032,0.0236,0.0674,10
-0.2333,-1.1786,-3.0117,179.7303,-0.2694,47.6246,0.0243,0.0666,10
